density,temperature,TPSA,MW,LogP,HallKierAlpha,delta_phi
65.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2561303088116397
66.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2520007060555728
67.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2486767182656215
67.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2461825380441171
69.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2445441799883834
70.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2437895223044845
71.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2439483456696528
71.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2450523704770291
73.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2471352945322588
73.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2502328337984172
75.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2543827689101943
75.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2596249999755868
76.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2660016117447037
77.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.2735569506486958
79.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2823377145777882
80.0,67.0,31.5,18.015,-0.8247,-0.04,-0.2923930556470357
81.0,67.0,31.5,18.015,-0.8247,-0.04,-0.3037746956407919
81.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.3165370533710574
82.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.3307373828500566
84.0,67.0,31.5,18.015,-0.8247,-0.04,-0.3464359209726477
85.0,67.0,31.5,18.015,-0.8247,-0.04,-0.3636960433277385
86.0,67.0,31.5,18.015,-0.8247,-0.04,-0.382584426798974
86.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.4031712177577931
87.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.4255302048774888
89.0,67.0,31.5,18.015,-0.8247,-0.04,-0.4497389958853415
90.0,67.0,31.5,18.015,-0.8247,-0.04,-0.4758791978997051
90.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.5040366013530775
92.0,67.0,31.5,18.015,-0.8247,-0.04,-0.5343013678627243
92.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.5667682227645415
93.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.6015366533619303
94.99999999999997,67.0,31.5,18.015,-0.8247,-0.04,-0.6387111142515665
95.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.678401241367842
97.0,67.0,31.5,18.015,-0.8247,-0.04,-0.7207220766330851
97.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.7657943053136239
98.99999999999999,67.0,31.5,18.015,-0.8247,-0.04,-0.8137445083614793
100.0,67.0,31.5,18.015,-0.8247,-0.04,-0.8647054321746148
1.0,75.25,31.5,18.015,-0.8247,-0.04,-1.1051196534065653
2.0,75.25,31.5,18.015,-0.8247,-0.04,-1.1596116015425242
3.0,75.25,31.5,18.015,-0.8247,-0.04,-1.203904764479418
4.0,75.25,31.5,18.015,-0.8247,-0.04,-1.239033381150183
5.0,75.25,31.5,18.015,-0.8247,-0.04,-1.2659478527115553
6.0,75.25,31.5,18.015,-0.8247,-0.04,-1.2855236120923472
6.999999999999999,75.25,31.5,18.015,-0.8247,-0.04,-1.2985675436139656
8.0,75.25,31.5,18.015,-0.8247,-0.04,-1.3058227779926692
9.0,75.25,31.5,18.015,-0.8247,-0.04,-1.307972448168345
9.999999999999998,75.25,31.5,18.015,-0.8247,-0.04,-1.3056428140202183
11.0,75.25,31.5,18.015,-0.8247,-0.04,-1.299406039012012
12.0,75.25,31.5,18.015,-0.8247,-0.04,-1.2897828113344598
13.0,75.25,31.5,18.015,-0.8247,-0.04,-1.2772449352267
13.999999999999998,75.25,31.5,18.015,-0.8247,-0.04,-1.2622179679954304
15.0,75.25,31.5,18.015,-0.8247,-0.04,-1.245083940417092
15.999999999999998,75.25,31.5,18.015,-0.8247,-0.04,-1.2261841698228049
17.0,75.25,31.5,18.015,-0.8247,-0.04,-1.2058221542915517
18.0,75.25,31.5,18.015,-0.8247,-0.04,-1.184266521640538
18.999999999999996,75.25,31.5,18.015,-0.8247,-0.04,-1.161753997291209
20.0,75.25,31.5,18.015,-0.8247,-0.04,-1.138492349799449
21.0,75.25,31.5,18.015,-0.8247,-0.04,-1.1146632712049127
22.0,75.25,31.5,18.015,-0.8247,-0.04,-1.0904251508114189
23.0,75.25,31.5,18.015,-0.8247,-0.04,-1.0659157050679968
23.999999999999996,75.25,31.5,18.015,-0.8247,-0.04,-1.0412544324328104
